term,korean_name,description,category
fab,팹,반도체 제조 공장(Fabrication의 약자)으로 웨이퍼 생산 라인 단위,시설
fab_id,팹ID,팹을 고유하게 식별하는 코드 (예: M10/M11/M14/M15/M16),식별자
site_id,사이트ID,생산 공장 위치 식별자 (IC:이천/CJ:청주/WX:우시),식별자
wafer,웨이퍼,반도체 칩을 만드는 기판이 되는 얇은 원판형 실리콘,제품
wafer_id,웨이퍼ID,웨이퍼를 고유하게 식별하는 식별자,식별자
lot,로트,동일 조건으로 처리되는 웨이퍼 묶음 단위 (보통 25장),제품
lot_id,로트ID,로트를 고유하게 식별하는 식별자,식별자
yield,수율,생산된 제품 중 양품의 비율 (%),품질
yield_rate,수율률,특정 공정 또는 제품의 양품 비율,품질
defect,불량,제품의 품질 기준을 충족하지 못하는 결함,품질
defect_rate,불량률,전체 생산 대비 불량품의 비율 (%),품질
defect_code,불량코드,불량 유형을 분류하는 코드,품질
equipment,설비,반도체 제조에 사용되는 장비,시설
eqp_id,설비ID,설비를 고유하게 식별하는 식별자,식별자
eqp_name,설비명,설비의 이름,기본정보
eqp_type,설비유형,설비의 종류 (노광기/식각기/증착기 등),분류
process,공정,반도체 제조의 각 단계별 작업,공정
proc_id,공정ID,공정을 고유하게 식별하는 식별자,식별자
proc_name,공정명,공정의 이름,기본정보
step,스텝,공정 내 세부 단계,공정
step_id,스텝ID,스텝을 고유하게 식별하는 식별자,식별자
recipe,레시피,설비 운영을 위한 파라미터 설정 값 집합,공정
recipe_id,레시피ID,레시피를 고유하게 식별하는 식별자,식별자
chamber,챔버,설비 내 공정이 실제로 진행되는 반응 공간,시설
chamber_id,챔버ID,챔버를 고유하게 식별하는 식별자,식별자
carrier,캐리어,웨이퍼를 운반하는 용기 (FOUP),시설
carrier_id,캐리어ID,캐리어를 고유하게 식별하는 식별자,식별자
product,제품,생산되는 반도체 제품,제품
product_id,제품ID,제품을 고유하게 식별하는 식별자,식별자
product_name,제품명,제품의 이름 (예: DDR5/HBM3),기본정보
device,디바이스,제조 중인 반도체 소자,제품
device_id,디바이스ID,디바이스를 고유하게 식별하는 식별자,식별자
bin,빈,테스트 결과에 따른 제품 분류 등급,품질
bin_code,빈코드,빈 분류를 나타내는 코드,품질
die,다이,웨이퍼에서 절단된 개별 칩,제품
die_cnt,다이수,웨이퍼당 다이의 개수,수량
good_die_cnt,양품다이수,양품으로 판정된 다이의 개수,수량
hold,홀드,공정 진행을 일시 중단하는 상태,상태
hold_code,홀드코드,홀드 사유를 나타내는 코드,상태
hold_reason,홀드사유,공정이 중단된 이유,상태
release,릴리스,홀드 상태 해제,상태
wip,재공,Work In Process의 약자로 진행 중인 재고,상태
wip_qty,재공수량,현재 공정 중인 로트/웨이퍼 수량,수량
track_in,트랙인,설비에 로트가 진입하는 시점,일시
track_out,트랙아웃,설비에서 로트가 나오는 시점,일시
track_in_dt,트랙인일시,설비 진입 일시,일시
track_out_dt,트랙아웃일시,설비 완료 일시,일시
cycle_time,사이클타임,공정 시작부터 완료까지 소요 시간,일시
tact_time,택트타임,설비에서 제품 하나 처리에 걸리는 시간,일시
throughput,처리량,단위 시간당 처리된 제품 수량,수량
utilization,가동률,설비의 실제 가동 시간 비율,품질
downtime,다운타임,설비 중단 시간,일시
pm,예방정비,Preventive Maintenance의 약자로 정기 점검,시설
bm,고장정비,Breakdown Maintenance의 약자로 고장 수리,시설
layer,레이어,반도체 회로의 층,공정
photo,포토,포토리소그래피 공정 (회로 패턴 형성),공정
etch,식각,에칭 공정 (불필요한 부분 제거),공정
depo,증착,Deposition 공정 (박막 형성),공정
cmp,CMP,Chemical Mechanical Polishing 연마 공정,공정
implant,이온주입,반도체에 불순물 주입 공정,공정
metrology,계측,제품 특성 측정 공정,품질
inspection,검사,결함 검출을 위한 검사 공정,품질
wt,웨이퍼테스트,웨이퍼 상태에서 전기적 특성 검사,공정
pnt,패키지테스트,패키징 후 최종 테스트,공정
create_dt,생성일시,데이터가 생성된 날짜 및 시간,일시
update_dt,수정일시,데이터가 수정된 날짜 및 시간,일시
shift,근무조,교대 근무 조 (주간/야간),조직
operator,작업자,설비 운영 담당자,인사
operator_id,작업자ID,작업자를 고유하게 식별하는 식별자,식별자
